metric,feature,gain
power,violation_count,0.033392783254384995
power,utilization_estimate,0.03328913822770119
power,tns,0.03305715322494507
power,mean_density,0.03284493088722229
power,clock_period,0.02965427003800869
power,register_count,0.014354287646710873
power,hotspot_tile_count,0.014059770852327347
power,slack_p10,0.012808641418814659
power,wns,0.009594321250915527
power,std_density,0.008368742652237415
power,slack_p50,0.004755148198455572
power,slack_p90,0.004631531424820423
power,freq_mhz,0.002996237250044942
power,slack_p0,0.002980968914926052
power,clock_target_ns,1.9854018319165334e-05
perf,clock_target_ns,0.7781765460968018
perf,clock_period,0.47350436449050903
perf,freq_mhz,0.05595792829990387
perf,slack_p90,0.05485124886035919
perf,slack_p0,0.00048816227354109287
perf,slack_p10,0.000332704366883263
perf,mean_density,0.0002865404530894011
perf,register_count,0.0002638653095345944
perf,hotspot_tile_count,0.00022422451002057642
perf,wns,0.0002070918126264587
perf,tns,0.0002021455147769302
perf,slack_p50,0.00018909198115579784
perf,std_density,0.00011279534373898059
perf,violation_count,0.0001124171176343225
perf,utilization_estimate,8.313023863593116e-05
area,utilization_estimate,0.03774182125926018
area,violation_count,0.037038762122392654
area,register_count,0.022103864699602127
area,mean_density,0.01794295571744442
area,tns,0.016882186755537987
area,clock_period,0.01684292033314705
area,slack_p10,0.015299210324883461
area,hotspot_tile_count,0.013309663161635399
area,std_density,0.01184067316353321
area,wns,0.007639487739652395
area,slack_p90,0.006760533433407545
area,slack_p50,0.005597961135208607
area,node_count,0.002802150556817651
area,slack_p0,0.002067307475954294
area,freq_mhz,0.0016649598255753517
